数据库连接出错    2014-10-18 10:50:32:     SQLSTATE[28000] [1045] Access denied for user 'root'@'localhost' (using password: YES)
2014-10-20 23:59:28:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 02:26:00:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 02:26:10:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 04:16:26:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 04:17:50:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 04:18:43:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 04:18:50:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 04:20:21:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 04:21:10:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 04:21:44:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 04:22:09:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 04:22:24:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 05:16:22:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 05:18:37:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 05:20:04:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-21 05:26:16:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-22 01:14:31:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-22 01:22:02:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-22 01:23:50:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-22 01:26:23:      数据库执行SQL出错。DELETE FROM testwhere id=:idSQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'id=?' at line 1
2014-10-22 01:26:39:      数据库执行SQL出错。DELETE FROM test where id=:idSQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 03:14:56:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-22 03:27:20:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-22 03:28:44:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-22 03:32:07:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-22 03:41:29:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-22 03:43:42:      数据库执行SQL出错。SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2014-10-22 04:09:22:      数据库执行SQL出错。SELECT * FROM test Where username=:username and id>:idSQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:10:48:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username and id>:idSQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:12:16:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username and id>:idSQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:12:47:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username and id>:idSQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:13:10:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username and id>:idSQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:13:11:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username and id>:idSQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:13:53:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username and id>:idSQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:20:00:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username and id>:id SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:26:09:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username AND id>:id SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:26:13:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username AND id>:id SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:49:18:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username AND id>:id SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:49:20:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username AND id>:id SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:49:21:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username AND id>:id SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
2014-10-22 04:49:23:      数据库执行SQL出错。SELECT * FROM test WHERE username=:username AND id>:id SQLSTATE[HY093]: Invalid parameter number: parameter was not defined
